"SERIALNO","SPORDER","PWGTP","WGTP","AGEP","SEX","ESR","MAR","DIS","Boro","HousingStatus","EducAttain","PreTaxIncome_PU","WAGP_adj","INTP_adj","SEMP_adj","SSP_adj","SSIP_adj","RETP_adj","MRGP_adj","RNTP_adj","NYCgov_MOOP","NYCgov_MedSpending","NYCgov_MedPremiums","NYCgov_HEAP","NYCgov_WIC","NYCgov_SNAP","NYCgov_SchoolLunch","NYCgov_SchoolBreakfast","NYCgov_Nutrition","Off_Threshold","Off_Pov_Stat","NYCgov_Threshold","NYCgov_Pov_Stat","NYCgov_PovGapIndex","NYCgov_PovGap"
326452,4,172,201,28,2,6,1,2,2,4,2,48364.224,0,0,0,0,0,0,0,1410.6232,28.02276,28.02276,0,0,1274.4,0,585.2,0,585.2,29360,2,39630.4432054192,2,0,0
326459,2,72,42,48,1,6,5,1,4,9,2,8463.7392,0,0,0,8463.7392,0,0,1511.382,0,3819.399,3819.399,0,35,0,672,0,0,672,12486,1,15017.1298261508,1,0.643650949001312,9665.7900390625
326582,2,51,72,51,2,6,1,2,4,4,3,8060.704,0,0,0,0,0,0,0,362.73168,24.90912,24.90912,0,0,0,0,0,0,0,19318,1,28519.6992497817,1,0.547476351261139,15613.861328125
326611,1,62,62,28,2,1,5,2,5,4,4,75569.1,75569.1,0,0,0,0,0,0,967.28448,3848.459,112.091,3736.368,0,0,0,0,0,0,12486,2,15017.1298261508,2,0,0
326632,1,137,136,27,2,6,1,2,1,3,1,32242.816,0,0,0,0,0,0,0,1511.382,0,0,0,0,0,0,585.2,0,585.2,19318,2,28519.6992497817,2,0,0
326749,1,61,61,63,2,2,3,2,2,8,4,60052.2448,50379.4,0,0,0,0,0,0,0,1638.294,1093.926,544.3681,35,0,2682,0,0,2682,16072,2,21174.1530548727,2,0,0
326833,1,115,115,26,1,1,5,2,4,4,4,70531.16,70531.16,0,0,0,0,0,0,2015.176,3173.838,184.7427,2989.095,0,0,0,0,0,0,12486,2,15017.1298261508,2,0,0
326907,1,137,137,36,1,1,3,2,1,4,3,27204.876,27204.876,0,0,0,0,0,0,755.691,424.493,100.6744,323.8186,0,0,0,0,0,0,12486,2,15017.1298261508,2,0,0
326974,1,104,104,65,2,6,3,2,4,6,3,275071.524,15113.82,259957.704,0,0,0,0,0,1612.1408,1594.931,243.9018,1351.029,0,0,0,0,0,0,11511,2,15017.1298261508,2,0,0
327054,4,118,133,1,1,NA,5,2,4,9,NA,42822.49,0,0,0,0,0,0,1612.1408,0,3512.145,1353.396,2158.749,0,1274.4,0,0,0,0,24339,2,32401.9996992759,2,0,0
327094,1,116,116,68,2,6,3,2,4,4,3,20151.76,0,0,0,20151.76,0,0,0,1410.6232,2146.751,1493.509,653.2417,35,0,0,0,0,0,11511,2,15017.1298261508,2,0,0
327151,2,210,191,27,2,6,5,2,1,4,3,50379.4,0,0,0,0,0,0,0,1108.3468,1144.823,389.205,755.6182,0,0,0,0,0,0,16072,2,21174.1530548727,2,0,0
327271,1,87,87,50,2,1,4,2,2,4,4,38288.344,38288.344,0,0,0,0,0,0,1108.3468,4663.237,2774.254,1888.983,0,0,0,0,0,0,16072,2,21174.1530548727,2,0,0
